inspection_id,dba_name,facility_type,risk,address,zip,inspection_date,inspection_type,results,latitude,longitude
2616073,STAR FARM CHICAGO,Retail,Risk 1 (High),5256 S ASHLAND,60609,2025-04-21,License,Fail,41.797818914570925,-87.6648302194387
2616063,GENE'S BISTRO/BIG BOWL/TALL BOY,Food Service,Risk 1 (High),5700 S CICERO AVE,60638,2025-04-21,Canvass,Pass,41.789329323265385,-87.74164564419637
2616072,THE CLUB MDW,Food Service,Risk 1 (High),5700 S CICERO AVE,60638,2025-04-21,Canvass,Pass w/ Conditions,41.789329323265385,-87.74164564419637
2616030,VIENNA SAUSAGE,Food Service,Risk 1 (High),3847 S MORGAN ST,60609,2025-04-18,Canvass,Pass,41.82415036365103,-87.6506580321786
2616041,AFC SUSHI @ JEWEL OSCO #4500,Food Service,Risk 1 (High),1340 S CANAL ST,60607,2025-04-18,Canvass,Pass,41.864521193743535,-87.63930409963562
2616027,INTERCULTURAL MONTESSORI LANGUAGE SCHOOL,Child or Student Facilities,Risk 1 (High),114 S RACINE AVE,60607,2025-04-18,Canvass,Pass,41.87984160939149,-87.65723162539508
2616036,CHEESIE'S PUB & GRUB,Food Service,Risk 1 (High),3472 N CLARK ST,60657,2025-04-18,License,Pass,41.94532485896477,-87.65517564332215
2616060,EL PUEBLITO MEXICAN GRILL,Food Service,Risk 1 (High),5152 N CICERO AVE,60630,2025-04-18,Canvass,Fail,41.97504399270979,-87.74813331935255
2616045,OH HEN MART,Retail,Risk 1 (High),9053 S STONY ISLAND AVE,60617,2025-04-18,Canvass,Fail,41.72989496218228,-87.58490874229389
2616050,TNT,Food Service,Risk 1 (High),601 W ROOT ST,60609,2025-04-18,Canvass,Fail,41.81887825971455,-87.64099728014861
2616051,FRY THE COOP,Food Service,Risk 1 (High),1529 W CHICAGO AVE,60642,2025-04-18,Canvass,Pass w/ Conditions,41.89598204592076,-87.66604606950455
2616018,SACRAMENTO THREE BROTHERS,Retail,Risk 1 (High),603 S SACRAMENTO BLVD,60612,2025-04-18,Canvass Re-Inspection,Pass w/ Conditions,41.87363514754481,-87.70086223773322
2616026,JEWEL FOOD STORE #3092,Retail,Risk 1 (High),1655 E 95TH ST,60617,2025-04-18,Complaint,Pass,41.722263198133774,-87.58291763461929
2616015,"BABAS FAMOUS STEAK AND LEMONADE ON LARAMIE, INC",Food Service,Risk 1 (High),345 N CENTRAL AVE,60644,2025-04-18,License Re-Inspection,Pass w/ Conditions,41.88708768190208,-87.76495725072779
2616059,LITTLE EINSTEINS ACADEMY,Child or Student Facilities,Risk 1 (High),2896 S ARCHER AVE,60608,2025-04-18,License,Pass,41.84192883654943,-87.65764326211733
2616055,TAQUERIA ATOTONILCO #1,Food Service,Risk 1 (High),3916 W 26TH ST,60623,2025-04-18,Canvass Re-Inspection,Pass,41.84438460355549,-87.72290643787672
2616012,INTERCULTURAL MONTESSORI FOREIGN LANGUAGE IMMERSIO,Child or Student Facilities,Risk 1 (High),114 S RACINE AVE,60607,2025-04-18,Canvass,Pass,41.87984160939149,-87.65723162539508
2616039,SMART LEARNING CENTER LLC,Child or Student Facilities,Risk 2 (Medium),2839-2841 S ARCHER AVE,60608,2025-04-18,Complaint,Pass,41.8426954783492,-87.65550921697735
2616023,EVERETT ELEMENTARY,Child or Student Facilities,Risk 1 (High),3419 S Bell (2232W),60608,2025-04-18,Canvass Re-Inspection,Pass,41.83154196061845,-87.6812732236404
2616053,7-ELEVEN #33698J,Retail,Risk 2 (Medium),6401 N SHERIDAN RD,60626,2025-04-18,Complaint Re-Inspection,Pass,41.99830880638971,-87.65969638325635
2616009,TACO BELL,Food Service,Risk 1 (High),3509 N HARLEM AVE,60634,2025-04-18,Canvass,Pass,41.94376516773835,-87.80680785503851
2616035,GEORGE HOT DOGS,Food Service,Risk 1 (High),2612 S KEDZIE AVE,60623,2025-04-18,Canvass,Pass w/ Conditions,41.84408464433586,-87.70517688607757
2615963,TRINOS PIZZA CORP,Food Service,Risk 1 (High),2001 W 35TH ST,60609,2025-04-17,Canvass,Pass,41.83027972267541,-87.67533960768992
2615935,TACO BELL CANTINA,Food Service,Risk 1 (High),941 W RANDOLPH ST,60607,2025-04-17,Canvass,Pass,41.88423038377647,-87.65134305370525
2615927,Morton Career Academy,Child or Student Facilities,Risk 1 (High),431 N Troy (3132W),60612,2025-04-17,Canvass Re-Inspection,Fail,41.8892866576457,-87.70498849654948
2615929,"SHAVED ICE DISTRIBUTORS, INC.",Food Service,Risk 1 (High),3335 S JUSTINE ST,60608,2025-04-17,Canvass,Pass,41.83313790275088,-87.66421786301464
2615958,LAS ISLAS MARIAS,Food Service,Risk 1 (High),6560 W FULLERTON AVE,60707,2025-04-17,Complaint,Fail,41.92375020104243,-87.78988085962634
2615917,HOAGY HOUSE,Food Service,Risk 1 (High),7116 S YATES BLVD,60649,2025-04-17,License,Pass,41.76561797259401,-87.56665272988461
2615970,GIORDANO'S GREEKTOWN,Food Service,Risk 1 (High),815 W VAN BUREN,60607,2025-04-17,Canvass,Pass,41.87655166174297,-87.64786970336469
2615945,CHILDREN'S HOME AND AID SOCIETY OF ILLINOIS,Child or Student Facilities,Risk 1 (High),1701 W 63RD ST,60636,2025-04-17,License,Pass,41.77930752464901,-87.66672450555792
2615984,SOUTHSIDE AFRICAN RESTAURANT,Food Service,Risk 1 (High),8311 S BALTIMORE AVE,60617,2025-04-17,Canvass,Pass,41.74451103957183,-87.5553659956619
2615961,YVOLINA'S TAMALES+GROCERIES,Food Service,Risk 1 (High),814 W 18TH ST,60608,2025-04-17,Canvass,Pass,41.85819002531755,-87.64731369351094
2615988,HANDS ON THAI & SUSHI,Food Service,Risk 1 (High),5056 W Irving Park RD,60641,2025-04-17,Canvass Re-Inspection,Pass,41.95344087020122,-87.75455318593346
2615936,DUNKIN DONUTS,Food Service,Risk 2 (Medium),5200 N LINCOLN AVE,60625,2025-04-17,Complaint,Fail,41.97591289899352,-87.69249417466321
2615920,OUR LADY OF TEPEYAC  ELEM.,Child or Student Facilities,Risk 1 (High),2235 S ALBANY AVE BLDG,60623,2025-04-17,Canvass,Pass,41.85075292257226,-87.70262483043953
2615914,JIMMY JOHN'S,Food Service,Risk 1 (High),812 W VAN BUREN ST,60607,2025-04-17,Canvass,Pass,41.87677248678597,-87.6477882888083
2615925,MONTESSORI FOUNDATIONS OF CHICAGO,Child or Student Facilities,Risk 1 (High),2239 W 35TH ST,60609,2025-04-17,Canvass,Pass,41.83020702073215,-87.68169307295167
2615915,I.H.O.P.,Food Service,Risk 1 (High),4210 N CICERO AVE,60641,2025-04-17,Complaint,Fail,41.95742941661818,-87.74757441604942
