inspection_id,dba_name,aka_name,license_,facility_type,risk,address,city,state,zip,inspection_date,inspection_type,results,violations,latitude,longitude,location
2615811,VISITA MARAVATIO RESTAURANT,VISITA MARAVATIO RESTAURANT,2802857,Restaurant,Risk 1 (High),1623 W 43rd ST,CHICAGO,IL,60609,2025-04-16T00:00:00.000,Canvass,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED PLASTIC TAPE USED TO REPAIR INTERIOR NONFOOD-CONTACT SURFACE OF ICE MACHINE TO BE NOT EASILY-CLEANABLE. INSTRUCTED TO REMOVE PLASTIC TAPE AND MAINTAIN NONFOOD-CONTACT SURFACES OF ICE MACHINE AND OTHER EQUIPMENT SMOOTH AND EASILY-CLEANABLE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO GREASE DRIP COLLECTION RECEPTACLE ON VENTILATION HOOD SYSTEM AND BUILD UP OF GREASE DRIP ALONG FIRE SUPPRESSION LINES ON HOOD. INSTRUCTED TO CLEAN FIRE SUPPRESSION LINES AND MAINTAIN VENTILATION HOOD SYSTEM OF APPROPRIATE DESIGN TO PREVENT GREASE FROM DRIPPING ONTO FOOD OR CLEAN EQUIPMENT.",41.81574727482529,-87.66621797293804,"
,  
(41.81574727482529, -87.66621797293804)"
2615803,DUNKIN DONUTS /M BURGER/ /BEECHERS/ WHITE SOX,DUNKIN DONUTS/ M BURGER/ BEECHERS/ WHITE SOX,2929382,Restaurant,Risk 1 (High),5700 S CICERO AVE,CHICAGO,IL,60638,2025-04-16T00:00:00.000,Canvass,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED BUILD UP OF SPILLAGE IN COLD HOLD UNIT IN DUNKIN DONUTS AREA WHERE COFFEE IS STORED. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BUILD UP OF RESIDUE ON FLOOR IN WALK IN COOLER UNDER SHELVING. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.",41.789329323265385,-87.74164564419637,"
,  
(41.789329323265385, -87.74164564419637)"
2615793,Galileo Elementary / ATP,Galileo,29141,School,Risk 1 (High),820 S Carpenter ST,CHICAGO,IL,60607,2025-04-16T00:00:00.000,Canvass,Pass,,41.87124633721824,-87.65340204686326,"
,  
(41.87124633721824, -87.65340204686326)"
2615789,"MESA URBANA, ATOLITO MEXICAN KITCHEN",ATOLE CATERING,2698727,Catering,Risk 1 (High),4024-4026 N MILWAUKEE AVE,CHICAGO,IL,60641,2025-04-16T00:00:00.000,Canvass,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP IN A POSITION THAT DOES NOT ALLOW TO DRY PROPERLY AND PREVENT PEST HARBORAGE. MUST STORE MOP AFTER USE IN A MOUNTED POSITION THAT ALLOWS FOR AIR-DRYING WITHOUT SOILING AND PEST HARBORAGING.",41.9538177479583,-87.74821678621218,"
,  
(41.9538177479583, -87.74821678621218)"
2615812,RAYMONDS TACOS LLC,RAYMONDS TACOS,2895535,Restaurant,Risk 1 (High),229 S WESTERN AVE,CHICAGO,IL,60612,2025-04-16T00:00:00.000,Canvass,Out of Business,,41.87766464568878,-87.68619648268242,"
,  
(41.87766464568878, -87.68619648268242)"
2615850,YAO'S CAFE,YAO'S CAFE,2835735,Restaurant,Risk 1 (High),601 W 43RD ST,CHICAGO,IL,60609,2025-04-16T00:00:00.000,Canvass,Pass w/ Conditions,"22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED THE FOLLOWING TCS FOOD ITEMS AT IMPROPER COLD-HOLDING TEMPERATURES IN THE WALK-IN COOLER: RAW SHELLFISH AT 47.8F, RAW CHICKEN AT 46.6F, RAW BEEF AT 46.9F. INSTRUCTED TO DENATURE AND DISCARD ALL TCS FOOD ITEMS AT IMPROPER TEMPERATURES AND MAINTAIN ALL TCS FOOD ITEMS AT 41.0�F OR BELOW FOR COLD-HOLDING. APPROXIMATELY 35 LBS OF FOOD VALUED APPROXIMATELY $100.00WAS  DISCARDED ON-SITE. PERSON-IN-CHARGE DISCARDED AND DENATURED ALL MENTIONED TCS FOOD ITEMS ON-SITE AT TIME OF INSPECTION.  PRIORITY VIOLATION. 7-38-005 CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED REACH-IN COOLERS THROUGHOUT MAIN COOK LINE MISSING INTERNAL AMBIENT AIR THERMOMETERS. INSTRUCTED TO PROVIDE AT LEAST ONE INTERNAL AMBIENT AIR THERMOMETER IN A CONSPICUOUS AND EASILY VIEWABLE LOCATION IN ALL EQUIPMENT USED TO COLD-HOLD TCS FOOD ITEMS AND MAINTAIN AT ALL TIMES. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED REAR EXTERIOR DOOR WITH BOTTOM DOOR SWEEP IN POOR REPAIR AND GAPS GREATER THAN 1/4"" BETWEEN DOOR AND DOOR FRAME, INADEQUATE PROTECTION FROM ENTRY OF PESTS. INSTRUCTED TO REPAIR OR REPLACE DOOR SWEEP AND ELIMINATE GAPS TO PREVENT ENTRY OF INSECTS AND OTHER PESTS, AND MAINTAIN. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: OBSERVED FACILITY RE-USING SINGLE-USE PLASTIC BOBA CONTAINERS TO STORE FRUITS AND OTHER FOOD ITEMS FOR BOBA TEA. INSTRUCTED TO CEASE RE-USE OF SINGLE-USE CONTAINERS AND REPLACE WITH MULTI-USE EQUIPMENT FOR STORING FRUITS AND OTHER FOOD ITEMS AND MAINTAIN. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: OBSERVED SEVERAL UNWRAPPED DISPOSABLE PAPER TOWEL ROLLS STORED ON SHELF IN THE EMPLOYEE TOILET ROOM. INSTRUCTED TO RELOCATE DISPOSABLE PAPER TOWEL ROLLS AND MAINTAIN SINGLE-SERVICE/SINGLE-USE ARTICLES OUTSIDE OF PROHIBITED AREAS, SUCH AS TOILET ROOMS. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED HEAVY BUILD-UP OF GREASE AND DUST DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF VENTILATION HOOD SYSTEM ABOVE THE MAIN COOK LINE. INSTRUCTED TO MAINTAIN A VENTILATION HOOD SYSTEM OF AN ADEQUATE NUMBER AND CAPACITY TO PREVENT THE BUILDUP OF GREASE AND DUST DEBRIS ALONG THE HOOD SYSTEM AND ADJACENT SURFACES AND MAINTAIN.",41.816155082491385,-87.64088352173687,"
,  
(41.816155082491385, -87.64088352173687)"
2615797,RJ GRUNTS,RJ GRUNTS,2951717,Restaurant,Risk 1 (High),5700 S CICERO AVE,CHICAGO,IL,60638,2025-04-16T00:00:00.000,Canvass Re-Inspection,Pass,49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C)	 OBSERVED FOOD RESIDUE AND SPILLAGE ON INTERIORS OF COLD HOLD DRAWERS. OBSERVED BUILDUP OF FOOD DEBRIS ON SHELVING INSIDE OF WALK-IN COOLER. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 4-202.18 OBSERVED BUILDUP OF GREASE ON FILTERS IN HOOD SYSTEM. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.,41.789329323265385,-87.74164564419637,"
,  
(41.789329323265385, -87.74164564419637)"
2615853,LINDSEY NICOLE MCCALL / DIVINE BITES BAKERY,LINDSEY NICOLE MCCALL / DIVINE BITES BAKERY,2912000,Shared Kitchen User (Long Term),Risk 1 (High),1458 E 72ND PL,CHICAGO,IL,60619,2025-04-16T00:00:00.000,Canvass,Pass,,41.76341071622778,-87.58860772034265,"
,  
(41.76341071622778, -87.58860772034265)"
2615814,REILLY'S DAUGHTER IRISH PUB,REILLY'S DAUGHTER IRISH PUB,2930289,Liquor,Risk 3 (Low),5700 S CICERO AVE,CHICAGO,IL,60638,2025-04-16T00:00:00.000,Canvass,Pass,,41.789329323265385,-87.74164564419637,"
,  
(41.789329323265385, -87.74164564419637)"
2615857,FONSECA NUTRISIION,HERBALIFE,2652457,HERBALIFE,Risk 2 (Medium),2637-2639 W 51ST ST,CHICAGO,IL,60632,2025-04-16T00:00:00.000,Canvass Re-Inspection,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED SEVERAL CEILING TILES STAINED WITH WATER DAMAGE. INSTRUCTED PERSON IN CHARGE TO REPLACE ALL WATER-DAMAGED CEILING TILES AND MAINTAIN THEM. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-501.14	OBSERVED DUST BUILDUP ON VENT IN DRY STORAGE ROOM. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.",41.800936631473,-87.69056582155538,"
,  
(41.800936631473, -87.69056582155538)"
