inspection_id,dba_name,facility_type,risk,address,zip,inspection_date,inspection_type,results,latitude,longitude
2615675,ST. DANIEL THE PROPHET,School,Risk 1 (High),5337 S NATOMA AVE,60638,2025-04-14,Canvass,Pass,41.79485633637961,-87.78784398186284
2615602,TAQUERIA JAMAY,Restaurant,Risk 1 (High),2500 W 51ST ST,60632,2025-04-11,Canvass,Fail,41.80122254666395,-87.686745425122
2615587,CRUMBL ROSCOE VILLAGE CHICAGO,Bakery,Risk 2 (Medium),3340 N WESTERN AVE,60618,2025-04-11,License,Pass,41.94247511559516,-87.6883953852947
2615647,CHARTWELLS HIGHER EDUCATION,Restaurant,Risk 1 (High),915 E 60TH ST,60637,2025-04-11,Canvass,Pass,41.78579095767523,-87.60374468613567
2615617,EARLY ACHIEVERS ACADEMY,Children's Services Facility,Risk 1 (High),450-456 E 83RD ST,60619,2025-04-11,Canvass,Fail,41.74395536398755,-87.61258755560007
2615596,FRUNZE,Restaurant,Risk 1 (High),926 W DIVERSEY PKWY,60614,2025-04-11,License,Pass w/ Conditions,41.93277107333041,-87.65250564729659
2615649,THE BANDIT,Restaurant,Risk 1 (High),841-843 W RANDOLPH FL,60607,2025-04-11,Canvass Re-Inspection,Pass,41.88427122892852,-87.6490087243122
2615650,QUERREPARIO MEXICAN KITCHEN INC.,Restaurant,Risk 1 (High),4151 W 47TH ST,60632,2025-04-11,Canvass,Pass,41.80770599295542,-87.72807483148299
2615635,MARATHON GAS,Grocery Store,Risk 3 (Low),3000 W 63RD ST,60629,2025-04-11,Complaint,Pass,41.7791524505009,-87.69833061516842
2615583,DIVISION QUICK MART,Grocery Store,Risk 2 (Medium),5652 W DIVISION ST,60651,2025-04-11,License Re-Inspection,Fail,41.90222162432598,-87.7677718454794
2615606,EVERETT ELEMENTARY,School,Risk 1 (High),3419 S Bell (2232W),60608,2025-04-11,Canvass,Fail,41.83154196061845,-87.6812732236404
2615605,ADRIAN'S FRESH MARKET #3 INC,Grocery Store,Risk 1 (High),3640 N CENTRAL AVE,60634,2025-04-11,Canvass,Pass,41.94712645115157,-87.76694702175593
2615585,AFTER,Restaurant,Risk 1 (High),1338 W FULTON ST,60607,2025-04-11,Canvass,Pass,41.886734621885346,-87.66046924136678
2615657,BURP,Restaurant,Risk 1 (High),154 W 95TH ST,60628,2025-04-11,Canvass,Pass,41.72177134639195,-87.62843656216967
2615638,UNIVERSITY OF CHICAGO,Restaurant,Risk 1 (High),1111 E 60TH ST,60637,2025-04-11,Canvass,Pass,41.7858403021095,-87.59906822381724
2615663,KINGS SOUL FOOD GALLERY,Restaurant,Risk 1 (High),8107 S COTTAGE GROVE AVE,60619,2025-04-11,Canvass,Pass,41.74736814141,-87.60498038232065
2615622,CHI TOWN GROUP LLC,Grocery Store,Risk 3 (Low),5002 N PULASKI RD,60630,2025-04-11,License,Pass,41.97203103694431,-87.72828227054897
2615629,TACO AND BURRITO EXPRESS #3,Restaurant,Risk 1 (High),1512 N ASHLAND AVE,60622,2025-04-11,Canvass Re-Inspection,Pass,41.9091477070187,-87.66779605778306
2615620,"LEARNING TREE PRESCHOOL AND NURSERY, INC.",Daycare Above and Under 2 Years,Risk 1 (High),6161 S KEDZIE AVE,60629,2025-04-11,Canvass Re-Inspection,Fail,41.78084306045778,-87.70304248538193
2615582,ICCI KIDS CARE,Daycare (2 - 6 Years),Risk 1 (High),6425 W BELMONT AVE,60634,2025-04-11,License Re-Inspection,Fail,41.93819213238083,-87.7870145970658
2615640,THE UNIVERSITY OF CHICAGO,Restaurant,Risk 1 (High),6031 S ELLIS AVE,60637,2025-04-11,Canvass,Pass,41.7849935307477,-87.60102212143794
2615600,WEST AUSTIN DEVELOPMENT CENTER,Daycare Above and Under 2 Years,Risk 1 (High),4920 W MADISON ST,60644,2025-04-11,License,Pass,41.88056363756397,-87.74861366933374
2615627,COLUMBUS MANOR RESIDENTIAL CARE & HOME,Long Term Care,Risk 1 (High),5107-5121 W JACKSON BLVD,60644,2025-04-11,Canvass Re-Inspection,Pass,41.87656421743353,-87.75374480570642
2615618,CHI TOWN GROUP LLC,Grocery Store,Risk 3 (Low),5002 N PULASKI RD,60630,2025-04-11,License,Pass,41.97203103694431,-87.72828227054897
2615644,SEASHELL RESTAURANTS,Restaurant,Risk 1 (High),601 E 79TH ST,60619,2025-04-11,Canvass Re-Inspection,Pass,41.75109065365,-87.61001847700093
2615591,JUANITA'S MEXICAN FOOD,Restaurant,Risk 1 (High),2955 W 59TH ST,60629,2025-04-11,Canvass,Pass,41.78622232540957,-87.69823813089072
2615637,TASTY CHICKEN & SALAD FOOD MART,Restaurant,Risk 1 (High),159 W 95TH ST,60628,2025-04-11,Canvass,Pass,41.721550830769104,-87.62860242455531
2615597,GWENDOLYN BROOKS PREP,School,Risk 1 (High),250 E 111th St (1100S),60628,2025-04-11,Canvass,Pass,41.692789557542376,-87.61638143811511
2615651,TAQUERIA EL COSTENO INC.,Restaurant,Risk 1 (High),2007-2009 S DAMEN AVE,60608,2025-04-11,Canvass,Pass,41.854694701707345,-87.67576513516751
2615628,DUNKIN DONUTS,Restaurant,Risk 2 (Medium),6435 S CICERO AVE,60638,2025-04-11,Short Form Complaint,Pass w/ Conditions,41.77554914921444,-87.74203314856207
2615581,LA CATEDRAL EXPRESS,Restaurant,Risk 1 (High),4720 S CALIFORNIA AVE,60632,2025-04-11,Canvass,Pass,41.80763360212086,-87.69433411628155
2615667,MOONBOWLS,Restaurant,Risk 1 (High),2464 N CLARK ST,60614,2025-04-11,Complaint Re-Inspection,Pass,41.927151434559896,-87.64157936056027
2615641,THE TAMALE LADY,Restaurant,Risk 1 (High),2021 W CERMAK RD,60608,2025-04-11,Canvass,Out of Business,41.85205177702523,-87.67672125249807
2615613,T & C GROCERY MARKET 1 INC.,Grocery Store,Risk 3 (Low),4754 N BERNARD ST,60625,2025-04-11,Complaint Re-Inspection,Pass,41.968182053062,-87.7147280450969
2615619,TIMBER LANES,Liquor,Risk 3 (Low),1851 W IRVING PARK RD,60613,2025-04-11,License Re-Inspection,Pass,41.954080767134606,-87.67614694113043
2615639,WEST TOWN BAKERY & DINER,Restaurant,Risk 1 (High),1916-1920 W CHICAGO AVE,60622,2025-04-11,Canvass Re-Inspection,Pass,41.89604872173419,-87.67535123458872
2615608,"WENDY'S PROPERTIES, LLC",Restaurant,Risk 1 (High),1623 W DIVISION ST,60622,2025-04-11,Complaint,Pass,41.903221562685445,-87.66848595723334
2615662,LA PALMA SUPERMERCADO,Grocery Store,Risk 1 (High),3927-3929 W 63RD ST,60629,2025-04-11,Short Form Complaint,Pass,41.778567329202176,-87.72141632893818
2615616,Harlan Comm.,School,Risk 1 (High),9652 S Michigan (100E),60628,2025-04-11,Canvass Re-Inspection,Fail,41.71840075227976,-87.62066069121764
2615632,KRISPY KRUNCHY CHICKEN,Restaurant,Risk 1 (High),1840 W PETERSON AVE,60660,2025-04-11,Complaint Re-Inspection,Pass,41.99083406875133,-87.67677172960916
2615664,ALEX LA MICHOACANA #1,Restaurant,Risk 1 (High),5420 W FULLERTON AVE,60639,2025-04-11,Canvass,Pass w/ Conditions,41.92414130115813,-87.76192142087591
2615603,"AFTER SCHOOL MATTERS,INC",Restaurant,Risk 1 (High),3401-3435 N CICERO AVE,60641,2025-04-11,Canvass,Pass,41.94252417010294,-87.74681882684068
2615601,UNIVERSITY PARTNERSHIP,Restaurant,Risk 1 (High),5640 S ELLIS AVE,60637,2025-04-11,Canvass,Pass,41.79196087387174,-87.60146169258668
2615607,WEST LOOP MARKET,Grocery Store,Risk 1 (High),1222 W MADISON ST,60607,2025-04-11,Canvass,Pass w/ Conditions,41.881709327815635,-87.65806721526003
2615557,CASPIAN KABAB CUISINE,Restaurant,Risk 1 (High),1413 N ASHLAND AVE,60622,2025-04-10,Canvass Re-Inspection,Pass,41.907442564575305,-87.66745466177603
